Kyosai Kawanabe
La Farge John
Lacoste Raphael
Laffoley Paul
Lagerstedt Mikko
Lajos Gulacsy
Lalique René
Lam Wilfredo
Landseer Edwin Henry
Langley Walter
Larionov Mikhail
Larson Abigail
Larson Gary
Larson Jeffrey T.
Larsson Carl
Lathrop Dorothy
Lavery John
Law Rebecca Louise
Lawlor Jimmy
Lawren Harris
Lawrence Jacob
Le Brun Charles
Lear Edward
Lecouffe-Deharme Bastien
Lee Alan
Lee Jim
Leech Raymond
Lefler Heinrich
Lega Silvestro
Legg Jeff
Lehr Paul
Leib Chris
Leighton Edmund
Leighton Frederick Lord
Lemire Jeff
Leonardo da Vinci
Levitan Isaac
Leyendecker J.C.
Lhote André
Lichtenstein Roy
Lieber Steve
Liefeld Rob
Liepke Malcolm
Ligare David
Lijun Fang
Lilien Ephraim Moses
Lindner Richard
Lindsay Norman
Lipking Jeremy
Lippi Filippino
Lipton Laurie
Lisowski Michal
List Herbert
Listfield Scott
Loftis Cory
Lorusso Joseph
Louie Travis
Lovecraft H.P.
Lovett Mark
Lucas George
Luce Maximilien
Luks George
Lux Loretta
Lynch Albert
Maar Dora
Macke August
Mackintosh Margaret Macdonald
Madgwick Clive
Madgwick Lee
Madureira Joe
Magritte Rene
Mahfood Jim
Maier Vivian
Maitz Don
Maleev Alex
Malevich Kazimir
Manara Milo
Mandelbrot Benoit B.
Manet Édouard
Mann Jeremy
Mann Sally
Marc Chagall
Marc Franz
Maria Sibylla Merian
Mark Rothko
Mars Chris
Marseus van Schrieck Otto
Marsh Reginald
Marshennikov Serge
Martin John
Martin Johnson Heade
Martinakis Adam
Martinière Stephan
Mashburn Brian
Masson André
Matisse Henri
Matsumoto Leiji
Matsumoto Taiyo
Matta Roberto
Matthews Rodney
Matthias Grünewald
Mattingly David B.
Matutina Dan
Max Peter
Mayhew Mike
Mazzoni Marco
McCaffrey Anne
McCall Robert
McFarlane Todd
McGinley Ryan
McGinnis Robert
McGuire Richard
McKean Dave
McKelvie Jamie
McKernan Kelly
McKie Angus
McMaster Meryl
McPharlin Dan
McPherson Tara
McQuarrie Ralph
McQue Ian
Mead Syd
Medcalf Bill
Mell Ed
Mendoza Eddie
Menzel Adolph
Merian Maria Sibylla
Merriam Daniel
Metzinger Jean
Meyerdierks Carsten
Michelangelo
Mignard Nicolas
Mignola Mike
Mike Winkelmann
Mikhail Larionov
Mili Gjon
Miller Frank
Miller Ian
Miller Marjorie
Millet Jean-François
Milligan Peter
Mills Russ
Minguez Victor Adame
Miro Joan
Mirza Haroon
Miró Joan
Miura Kentaro
Miyazaki Hayao
Modersohn-Becker Paula
Modigliani Amedeo
Modlin Margaret
Moebius
Moholy-Nagy László
Mohrbacher Peter
Mondrian Piet
Monet Claude
Monge Jean-Baptiste
Monkman Kent
Monks Alyssa
Monsù Desiderio
Moon Sailor
Moore Alan
Moore Albert Joseph
Moore Chris
Moore Henry
Moore Tony
Moosa Al Halyan
Moralis Yiannis
Moran Thomas
Moreau Gustave
Moret Henry
Morgan Gwenda
Morrice James Wilson
Morris Desmond
Morris William
Morski Igor
Mortensen John Kenn
Moscoso Victor
Moses Grandma
Mosina Inna
Motherwell Robert
Moureaux Emmanuelle
Mucha Alphonse
Mueck Ron
Mullins Craig
Mulready Augustus Edwin
Mumford Dan
Munari Bruno
Munch Edvard
Munro Bruce
Munthe Gerhard
Murakami Takashi
Murciano Patrice
Musin Sergey
Münter Gabriele
Mœbius
Nagai Go
Nagai Hiroshi
Nagy Tibor
Naismith Scott
Nasmith Ted
Nason Pieter
Nast Thomas
Natalia Goncharova
Neel Alice
Negley Keith
Nelson Kadir
Nerdrum Odd
Nesterov Mikhail
Nevinson C. R. W.
Newland Jane
Newton Helmut
Ngai Victo
Nguyen Dustin
Nielsen Kay
Nihei Tsutomu
Nilsson Bertil
Nirasawa Yasushi
Nizovtsev Victor
Nolan Sidney
Nolde Emil
Nolin Catherine
Nordqvist Sven
Norem Earl
North Marianne
Noto Phil
Nouvel Jean
O'Keeffe Georgia
Oakes Terry
Obata Takeshi
Ocampo Octavio
Oda Eiichiro
Odilon Redon
Ofili Chris
Ohara Koson
Ohrai Noriyoshi
Oiticica Helio
Okon Marek
Okubo Naomi
Olbiński Rafał
Olley Margaret
Olschinsky Atelier
Oppenheim Méret
Oprisco Oleg
Orozco José Clemente
Osbert Alphonse
Otomo Katsuhiro
Otomo Shohei
Oum Siya
Oursler Tony
Outhwaite Ida Rentoul
Pablo Picaso
Paick James
Palumbo David
Parkes Michael
Parkinson Keith
Parks Gordon
Parreno Philippe
Parrish Maxfield
Parsons Alfred
Patrick Nagel
Paul Cezanne
Paul Cézanne
Paul Gauguin
Paul Klee
Peale Charles Willson
Peale Raphaelle
Pechstein Max
Pei Guo
Pelton Agnes Lawrence
Pennington Bruce
Perceval John
Perez Fabian
Permeke Constant
Perry Grayson
Pesce Gaetano
Peter Gric
Peter Paul Rubens
Peterssen Eilif
Petolas Nikolina
Phillips Coles
Picabia Francis
Picasso Pablo
Pieck Anton
Pierre-Auguste Renoir
Pieter Bruegel the Elder
Pinchon Robert Antoine
Pippin Horace
Piranesi Giovanni Battista
Pirner Maximilian
Pissarro Camille
Pitre John
Plensa Jaume
Polacco Patricia
Pollock Jackson
Popova Lyubov
Portinari Candido
Potter Beatrix
Potter Paulus
Prager Alex
Pranckevicius Gediminas
Procter Dod
Pugh Gareth
Pyle Howard
Quinn Marc
RHADS
ROA
Rackham Arthur
Rahon Alice
Ranson Paul
Raphael
Rauschenberg Robert
Ray Man
Rea Joel
Redon Odilon
Reiffel Charles
Rembrandt
Remington Frederic
Rene Magritte
Renoir Pierre-Auguste
Repin Ilya
Rhead Louis
Richard Dadd
Richards William Trost
Richter Gerhard
Rigaud Hyacinthe
Ringgold Faith
Riopelle Jean-Paul
Rippl-Rónai József
Rist Pipilotti
Rivera Diego
Rivière Briton
Rob Gonsalves
Robert Henri
Robert Hubert
Robert Rauschenberg
Roberts Tom
Robinson Andrew
Robinson Charles
Robinson W. Heath
Rocha Andreas
Rockwell Norman
Roerich Nicholas
Romney George
Roset Conrad
Ross Alex
Ross Bob
Ross Tran
Rossetti Dante Gabriel
Rossier Jessica
Roth Ed
Rothko Mark
Rouault Georges
Rousseau Henri
Roversi Paolo
Roy Lichtenstein
Royo Luis
Rozalski Jakub
Ruas Joao
Rubell Jennifer
Rubens Peter Paul
Rucka Greg
Rutkowski Greg
Ryden Mark
Ryder Albert Pinkham
Różalski Jakub
Saarinen Eero
Saeki Toshio
Saenredam Jan Pietersz
Saenredam Pieter Jansz
Sage Kay
Saintclair Apollonia
Saliot Thomas
Salminen John
Salvador Dalí
Samori Nicola
Sandro Botticelli
Saray Rebeca
Sarazhin Denis
Sargent John Singer
Saryan Martiros
Sasamoto Masaaki
Sassen Viviane
Satrapi Marjane
Scarry Richard
Schaller Thomas W
Schapiro Miriam
Schiele Egon
Schjerfbeck Helene
Schloe Christian
Schmidt-Rottluff Karl
Schorr Todd
Schulz Charles
Schwabe Carlos
Scully Sean
